value,name,desc,prv,bv,bumper,div,bde,new
27,EM_USARMY_BN_1_5_82_FIELD_ART,5-82 Field Art,32,2,5-82FA,1,1,0
30,EM_USARMY_BN_1_8_ENGINEER,8 Engineer,32,0,8EN,1,1,0
31,EM_USARMY_BN_1_20_ENGINEER,20 Engineer,32,0,20EN,1,1,0
32,EM_USARMY_BN_1_91_ENGINEER,91 Engineer,32,0,91EN,1,1,0
34,EM_USARMY_BN_1_1_227_AVIATION,1-227 Aviation,32,0,1-227AV,1,1,0
35,EM_USARMY_BN_1_4_227_AVIATION,4-227 Aviation,32,0,4-227AV,1,1,0
36,EM_USARMY_BN_1_3_227_AVIATION,3-227 Aviation,32,0,3-227AV,1,1,0
37,EM_USARMY_BN_1_4_5_AIR_DEF_ART,4-5 Air Def Art,32,0,4-5ADA,1,1,0
38,EM_USARMY_BN_1_2_227_AVIATION,2-227 Aviation,32,0,2-227AV,1,1,0
40,EM_USARMY_BN_1_15_FORWARD_SUPP,15 Forward Supp,32,0,15FSB,1,1,0
41,EM_USARMY_BN_1_27_FORWARD_SUPP,27 Forward Supp,32,0,27FSB,1,1,0
42,EM_USARMY_BN_1_115_FORWARD_SUPP,115 Forward Supp,32,0,115SB,1,1,0
43,EM_USARMY_BN_1_215_FORWARD_SUPP,215 Forward Supp,32,0,215SB,1,1,0
45,EM_USARMY_BN_1_312_MIL_INTELL,312 Mil Intell,32,0,312MI,1,1,0
46,EM_USARMY_BN_1_13_SIGNAL,13 Signal,32,0,13SIG,1,1,0
47,EM_USARMY_BN_1_MIL_POLICE,Mil Police,32,0,545MP,1,1,0
48,EM_USARMY_BN_1_68_CHEMICAL,68 Chemical,32,0,68CML,1,1,0
49,EM_USARMY_BN_1_615_FORWARD_SUPP,615 Forward Supp,32,0,615SB,1,1,0
50,EM_USARMY_BN_1_HHC_1ST_CAVALRY,HHC 1st Cavalry,32,0,1CD,1,1,0
51,EM_USARMY_BN_1_1BDE_1CAV,1BDE/1CAV,32,0,1BDE-1CD,1,1,0
52,EM_USARMY_BN_1_2BDE_1CAV,2BDE/1CAV,32,0,2BDE-1CD,1,1,0
53,EM_USARMY_BN_1_3BDE_1CAV,3BDE/1CAV,32,0,3BDE-1CD,1,1,0
54,EM_USARMY_BN_1_4BDE_1CAV,4BDE/1CAV,32,0,4BDE-1CD,1,1,0
56,EM_USARMY_BN_1_EN_BDE_1CAV,EN BDE/1CAV,32,0,EN-1CD,1,1,0
57,EM_USARMY_BN_1_DIVARTY_1CAV,DIVARTY/1CAV,32,0,DVTRY-1CD,1,1,0
58,EM_USARMY_BN_1_DISCOM_1CAV,DISCOM/1CAV,32,0,DSC-1CD,1,1,0
59,EM_USARMY_BN_1_3_8_CAVALRY,3-8 Cavalry,32,0,3-8CAV,1,1,0
60,EM_USARMY_BN_1_2_7_CAVALRY,2-7 Cavalry,32,0,2-7CAV,1,1,0
61,EM_USARMY_BN_1_2_82_ARTILLERY,2-82 Artillery,32,0,2-82FA,1,1,0
62,EM_USARMY_BN_1_AVBDE_1CAV,AVBDE/1CAV,32,0,AVBDE,1,1,0
63,EM_USARMY_BN_1_STB_1CD,STB/1CD,32,0,STB,1,1,0
64,EM_USARMY_BN_1_STB1_1CD,STB1/1CD,32,0,STB1,1,1,0
65,EM_USARMY_BN_1_STB2_1CD,STB2/1CD,32,0,STB2,1,1,0
66,EM_USARMY_BN_1_STB3_1CD,STB3/1CD,32,0,STB3,1,1,0
67,EM_USARMY_BN_1_STB4_1CD,STB4/1CD,32,0,STB4,1,1,0
68,EM_USARMY_BN_1_SUSTBDE_1CD,SUSTBDE/1CD,32,0,SUST,1,1,0
255,EM_USARMY_BN_1_UNKNOWN,UNKNOWN,0,0,UNK,1,1,0
