value,name,desc,CAT,type,length,units,new,deleted,SISO
12160,DID_ALTERNATIVE_ENTITY_TYPE_SPECIFIC,Alternative Entity Type - Specific,Entity ID,unsigned integer,8-bits,unknown,0,0,0
12170,DID_ALTERNATIVE_ENTITY_TYPE_EXTRA,Alternative Entity Type - Extra,Entity ID,unsigned integer,8-bits,unknown,0,0,0
12300,DID_ALTERNATIVE_ENTITY_TYPE_DESC,Alternative Entity Type - Description,Entity ID,variable,unknown,unknown,0,0,0
13000,DID_ENTITY_MARKING_ENTITY_MARKING,Entity Marking - Entity Marking,Entity ID,unknown,8-bits,unknown,0,0,0
13100,DID_ENTITY_MARKING_CHARACTERS,Entity Marking Characters,Entity ID,string,80-bits,unknown,0,0,0
13200,DID_ENTITY_MARKING_CREW_ID,Entity Marking - Crew ID,Entity ID,string,80-bits,unknown,0,0,0
14000,DID_TASK_ORG_AGGR,Task Organization (Aggregate),Task Organization,unknown,unknown,unknown,0,0,0
14200,DID_TASK_ORG_REGIMENT_NAME,Task Organization - Regiment Name,Task Organization,string,unknown,unknown,0,0,0
14300,DID_TASK_ORG_BATTALION_NAME,Task Organization - Battalion Name,Task Organization,string,unknown,unknown,0,0,0
14400,DID_TASK_ORG_COMPANY_NAME,Task Organization - Company Name,Task Organization,string,unknown,unknown,0,0,0
14500,DID_TASK_ORG_PLATOON_NAME,Task Organization - Platoon Name,Task Organization,string,unknown,unknown,0,0,0
14520,DID_TASK_ORG_SQUAD_NAME,Task Organization - Squad Name,Task Organization,string,unknown,unknown,0,0,0
14540,DID_TASK_ORG_TEAM_NAME,Task Organization - Team Name,Task Organization,string,unknown,unknown,0,0,0
14600,DID_TASK_ORG_BUMPER_NUMBER,Task Organization - Bumper Number,Task Organization,unknown,unknown,unknown,0,0,0
14700,DID_TASK_ORG_VEHICLE_NUMBER,Task Organization - Vehicle Number,Task Organization,unknown,unknown,unknown,0,0,0
14800,DID_TASK_ORG_UNIT_NUMBER,Task Organization - Unit Number,Task Organization,unknown,unknown,unknown,0,0,0
14900,DID_TASK_ORG_ARMY,Army Task Organization,Task Organization,variable,128-bits,unknown,1,1,0
14950,DID_TASK_ORG_ARMY_ECHELON_DESC_SHORT,Army Echelon Description - Short,Task Organization,variable,64 + 64N bits,unknown,1,1,0
14951,DID_TASK_ORG_ARMY_ECHELON_DESC_SHORT_DIVISION,Division Echelon Description - Short,Task Organization,variable,64 + 64N bits,unknown,1,1,0
14952,DID_TASK_ORG_ARMY_ECHELON_DESC_SHORT_BRIGADE,Brigade Echelon Description - Short,Task Organization,variable,64 + 64N bits,unknown,1,1,0
14953,DID_TASK_ORG_ARMY_ECHELON_DESC_SHORT_BN,Battalion Echelon Description - Short,Task Organization,variable,64 + 64N bits,unknown,1,1,0
14954,DID_TASK_ORG_ARMY_ECHELON_DESC_SHORT_COMPANY,Company Echelon Description - Short,Task Organization,variable,64 + 64N bits,unknown,1,1,0
14955,DID_TASK_ORG_ARMY_ECHELON_DESC_SHORT_PLATOON,Platoon Echelon Description - Short,Task Organization,variable,64 + 64N bits,unknown,1,1,0
14956,DID_TASK_ORG_ARMY_ECHELON_DESC_SHORT_SECT,Section Echelon Description - Short,Task Organization,variable,64 + 64N bits,unknown,1,1,0
14957,DID_TASK_ORG_ARMY_ECHELON_DESC_SHORT_SQUAD,Squad Echelon Description - Short,Task Organization,variable,N/A,unknown,1,1,0
14958,DID_TASK_ORG_ARMY_ECHELON_DESC_SHORT_FIRE_TEAM,Fire Team Echelon Description - Short,Task Organization,variable,64 + 64N bits,unknown,1,1,0
14970,DID_TASK_ORG_ARMY_ECHELON_DESC_LONG,Army Echelon Description - Long,Task Organization,variable,64 + 128N bits,unknown,1,1,0
14971,DID_TASK_ORG_ARMY_ECHELON_DESC_LONG_DIVISION,Division Echelon Description - Long,Task Organization,variable,64 + 128N bits,unknown,1,1,0
14972,DID_TASK_ORG_ARMY_ECHELON_DESC_LONG_BRIGADE,Brigade Echelon Description - Long,Task Organization,variable,64 + 128N bits,unknown,1,1,0
14973,DID_TASK_ORG_ARMY_ECHELON_DESC_LONG_BN,Battalion Echelon Description - Long,Task Organization,variable,64 + 128N bits,unknown,1,1,0
14974,DID_TASK_ORG_ARMY_ECHELON_DESC_LONG_COMPANY,Company Echelon Description - Long,Task Organization,variable,64 + 128N bits,unknown,1,1,0
14975,DID_TASK_ORG_ARMY_ECHELON_DESC_LONG_PLATOON,Platoon Echelon Description - Long,Task Organization,variable,64 + 128N bits,unknown,1,1,0
14976,DID_TASK_ORG_ARMY_ECHELON_DESC_LONG_SECT,Section Echelon Description - Long,Task Organization,variable,64 + 128N bits,unknown,1,1,0
14977,DID_TASK_ORG_ARMY_ECHELON_DESC_LONG_SQUAD,Squad Echelon Description - Long,Task Organization,variable,64 + 128N bits,unknown,1,1,0
14978,DID_TASK_ORG_ARMY_ECHELON_DESC_LONG_FIRE_TEAM,Fire Team Echelon Description - Long,Task Organization,variable,64 + 128N bits,unknown,1,1,0
15000,DID_DIS_IDENTITY_DIS_IDENTITY,DIS Identity - DIS Identity,Dismounted Infantry,unknown,unknown,unknown,0,0,0
15100,DID_DIS_IDENTITY_DIS_SITE_ID,DIS Identity - DIS Site ID,Dismounted Infantry,unknown,unknown,unknown,0,0,0
15200,DID_DIS_IDENTITY_DIS_HOST_ID,DIS Identity - DIS Host ID,Dismounted Infantry,unknown,unknown,unknown,0,0,0
15300,DID_DIS_IDENTITY_DIS_ENTITY_ID,DIS Identity - DIS Entity ID,Dismounted Infantry,unknown,unknown,unknown,0,0,0
15400,DID_DIS_IDENTITY_MOUNT_INTENT,DIS Identity - Mount Intent,Dismounted Infantry,unknown,544-bits,unknown,0,0,0
15500,DID_CFS_TETHER_UNTETHER_COMMAND,CFS - Tether-Untether Command,Task Organization,unsigned integer,32-bits,enumeration,0,0,0
15505,DID_COMMAND_FROM_SIMULATOR,Command from Simulator (CFS),Task Organization,variable,192-bits +,unknown,1,0,0
15510,DID_DIS_IDENTITY_TELEPORT_ENTITY_DATA_RECORD,DIS Identity - Teleport Entity Data Record,SIMAN,variable,unknown,unknown,0,0,0
15600,DID_DIS_IDENTITY_DIS_AGGR_ID,DIS Identity - DIS Aggregate ID,Dismounted Infantry,unsigned integer,32-bits,unknown,0,0,0
15800,DID_OWNERSHIP_STATUS,Ownership Status Record,Transfer Ownership,variable,64-bits,unknown,1,0,1
16200,DID_DI_INITIALIZATION_RECORD_ID,DI Initialization Record ID ,Dismounted Infantry,variable,unknown,unknown,0,0,0
16201,DID_DI_JOB_ASSIGNMENT_ID,DI Job Assignment ID ,Dismounted Infantry,fixed,unknown,unknown,0,0,0
16202,DID_DI_PRIMARY_WEAPON_ID,DI Primary Weapon ID ,Dismounted Infantry,fixed,unknown,unknown,0,0,0
16203,DID_DI_PRIMARY_MUNITION_QTY_ID,DI Primary Munition Quantity ID ,Dismounted Infantry,fixed,unknown,unknown,0,0,0
16204,DID_DI_SECONDARY_WEAPON_ID,DI Secondary Weapon ID ,Dismounted Infantry,fixed,unknown,unknown,0,0,0
16205,DID_DI_SECONDARY_MUNITION_QTY_ID,DI Secondary Munition Quantity ID ,Dismounted Infantry,fixed,unknown,unknown,0,0,0
16206,DID_DI_STANCE_ID,DI Stance ID ,Dismounted Infantry,fixed,unknown,unknown,0,0,0
16210,DID_NUMBER_TO_MOUNT_DISMOUNT_ID,Number To Mount Dismount ID ,Mounting,fixed,unknown,unknown,0,0,0
16215,DID_MOUNT_DATA_ID,Mount Data,Mounting,variable,unknown,unknown,1,0,0
16220,DID_CARRIER_MOUNT_ID,Carrier Mount ID,Mounting,variable,unknown,unknown,1,0,0
16225,DID_DI_MOUNTED_STATUS_ID,DI Mounted Status ID ,Dismounted Infantry,fixed,unknown,unknown,0,0,0
16230,DID_TROOP_STRENGTH_ID,Troop Strength ID ,Dismounted Infantry,fixed,unknown,unknown,0,0,0
16240,DID_WEAPON_QTY_RECORD_ID,Weapon Quantity Record ID ,Dismounted Infantry,variable,unknown,unknown,0,0,0
17000,DID_FORCE_ID,Force ID ,Task Organization,fixed,unknown,unknown,0,0,0
20000,DID_LOADS_AGGR,Loads (Aggregate),Loads,unknown,unknown,unknown,0,0,0
20001,DID_LOADS_CARGO_LOAD_REQUEST,Loads - Cargo Load Request,Loads,unknown,unknown,unknown,0,0,0
20006,DID_LOADS_SLING_LOAD_TYPE,Loads - Sling load Type,Loads,unknown,unknown,unknown,0,0,0
20007,DID_LOADS_SLING_LOAD_HOOK,Loads - Sling load Hook,Loads,unknown,unknown,unknown,0,0,0
20008,DID_LOADS_AIRMOUNT_STATION,Loads - Airmount Station,Loads,unknown,unknown,unknown,0,0,0
20009,DID_LOADS_AIRMOUNT_WEIGHT,Loads - Airmount Weight,Loads,unknown,unknown,unknown,0,0,0
20010,DID_LOADS_AIRMOUNT_IS_DI,Loads - Airmount Is DI,Loads,unknown,unknown,unknown,0,0,0
20011,DID_LOADS_AIRMOUNT_NUM_DI,Loads - Airmount Num DI,Loads,unknown,unknown,unknown,0,0,0
20012,DID_LOADS_AIRMOUNT_DI_KG,Loads - Airmount DI KG,Loads,unknown,unknown,unknown,0,0,0
20013,DID_LOADS_AIRMOUNT_CARGO_KG,Loads - Airmount Cargo KG,Loads,unknown,unknown,unknown,0,0,0
20014,DID_LOADS_AIRMOUNT_VEHICLE_SITE,Loads - Airmount Vehicle Site,Loads,unknown,unknown,unknown,0,0,0
20015,DID_LOADS_AIRMOUNT_VEHICLE_HOST,Loads - Airmount Vehicle Host,Loads,unknown,unknown,unknown,0,0,0
20016,DID_LOADS_AIRMOUNT_VEHICLE_VEHICLE,Loads - Airmount Vehicle Vehicle,Loads,unknown,unknown,unknown,0,0,0
20017,DID_LOADS_AIRMOUNT_RESPONSE_ACTION,Loads - Airmount Response Action,Loads,unknown,unknown,unknown,0,0,0
20020,DID_LOADS_CHECKPOINT_RESTORE_STATUS,Loads - Checkpoint Restore Status,Checkpoint,fixed,unknown,unknown,0,0,0
20021,DID_LOADS_CHECKPOINT_ENTITIES_LEFT,Loads - Checkpoint Entities Left,Checkpoint,fixed,unknown,unknown,0,0,0
20022,DID_LOADS_TOTAL_ENTITIES,Loads - Total Entities,Loads,fixed,unknown,unknown,0,0,0
20030,DID_SLING_LOAD_CAPABILITY,Sling Load Capability,Loads,variable,unknown,unknown,0,0,0
21000,DID_CREW_MEMBERS_AGGR,Crew Members (Aggregate),Crew Status,unknown,unknown,unknown,0,0,0
21100,DID_CREW_MEMBERS_CREW_MEMBER_ID,Crew Members - Crew Member ID,Crew Status,unknown,unknown,unknown,0,0,0
21200,DID_CREW_MEMBERS_HEALTH,Crew Members - Health,Crew Status,unknown,unknown,unknown,0,0,0
21300,DID_CREW_MEMBERS_JOB_ASSIGNMENT,Crew Members - Job Assignment,Crew Status,string,unknown,unknown,0,0,0
23000,DID_FUEL_AGGR,Fuel (Aggregate),Fuel,unknown,unknown,unknown,0,0,0
23100,DID_FUEL_QTY_LITERS,Fuel - Quantity - Liters,Fuel,unknown,unknown,liters,0,0,0
23105,DID_FUEL_QTY_GALLONS,Fuel - Quantity - Gallons,Fuel,unknown,unknown,gallons,0,0,0
24000,DID_AMMO_AGGR,Ammunition (Aggregate),Munitions,variable,unknown,unknown,0,0,0
24001,DID_AMMO_120_MM_HEAT_QTY,Ammunition - 120-mm HEAT - quantity,Munitions,unknown,unknown,rounds,0,0,0
24002,DID_AMMO_120_MM_SABOT_QTY,Ammunition - 120-mm SABOT - quantity,Munitions,unknown,unknown,rounds,0,0,0
24003,DID_AMMO_12_7_MM_M8_QTY,Ammunition - 12.7-mm M8 - quantity,Munitions,unknown,unknown,rounds,0,0,0
24004,DID_AMMO_12_7_MM_M20_QTY,Ammunition - 12.7-mm M20 - quantity,Munitions,unknown,unknown,rounds,0,0,0
24005,DID_AMMO_7_62_MM_M62_QTY,Ammunition - 7.62-mm M62 - quantity,Munitions,unknown,unknown,rounds,0,0,0
24006,DID_AMMO_M250_UKL8A1_QTY,Ammunition - M250 UKL8A1 - quantity,Munitions,unknown,unknown,grenades,0,0,0
24007,DID_AMMO_M250_UKL8A3_QTY,Ammunition - M250 UKL8A3 - quantity,Munitions,unknown,unknown,grenades,0,0,0
24008,DID_AMMO_7_62_MM_M80_QTY,Ammunition - 7.62-mm M80 - quantity,Munitions,unknown,unknown,rounds,0,0,0
24009,DID_AMMO_12_7_MM_QTY,Ammunition - 12.7-mm - quantity,Munitions,unknown,unknown,rounds,0,0,0
24010,DID_AMMO_7_62_MM_QTY,Ammunition - 7.62-mm - quantity,Munitions,unknown,unknown,rounds,0,0,0
24011,DID_AMMO_DISPLAY_AVIATOR,Ammunition - Display Aviator,Munitions,unknown,unknown,unknown,0,0,0
24012,DID_AMMO_MUNITIONS_25_HEI_T_QTY_ID_B120,Ammunition - Munitions 25 Hei T Quantity ID B120,Munitions,fixed,unknown,unknown,0,0,0
24013,DID_AMMO_MUNITIONS_25_SABOT_QTY_ID,Ammunition - Munitions 25 Sabot Quantity ID ,Munitions,fixed,unknown,unknown,0,0,0
24014,DID_AMMO_MUNITIONS_TOW_II_QTY_ID,Ammunition - Munitions Tow Ii Quantity ID ,Munitions,fixed,unknown,unknown,0,0,0
24015,DID_AMMO_BATTLE_DAMAGE_STATUS,Ammunition - Battle Damage Status,Munitions,unknown,unknown,unknown,0,0,0
24016,DID_AMMO_BATTLE_DAMAGE_INHIBIT_STATUS,Ammunition - Battle Damage Inhibit Status,Munitions,unknown,unknown,unknown,0,0,0
24017,DID_AMMO_BCIS_EQUIPPED_ID,Ammunition - Bcis Equipped ID ,Munitions,fixed,unknown,unknown,0,0,0
24020,DID_AMMO_SIMSTATUS,Ammunition - SimStatus,Munitions,unknown,unknown,unknown,0,0,0
24021,DID_AMMO_RUNSTATUS,Ammunition - RunStatus,Munitions,unknown,unknown,unknown,0,0,0
24022,DID_AMMO_DISPLAY_STATE,Ammunition - Display State,Munitions,unknown,unknown,unknown,0,0,0
24023,DID_AMMO_MUNITIONS_25_APDS_QTY_ID,Ammunition - Munitions 25 Apds Quantity ID ,Munitions,fixed,unknown,unknown,0,0,0
24024,DID_AMMO_MUNITIONS_M257_L8A1_QTY_ID,Ammunition - Munitions M257 L8A1 Quantity ID ,Munitions,fixed,unknown,unknown,0,0,0
24025,DID_AMMO_MUNITIONS_M257_L8A3_QTY_ID,Ammunition - Munitions M257 L8A3 Quantity ID ,Munitions,fixed,unknown,unknown,0,0,0
24060,DID_AMMO_MINES_QTY,Ammunition - Mines - quantity,Munitions,fixed,16-bits,mines,0,0,0
24100,DID_AMMO_TYPE,Ammunition - Type,Munitions,fixed,8-bits,N/A,0,0,0
24110,DID_AMMO_KIND,Ammunition - Kind,Munitions,fixed,8-bits,N/A,0,0,0
24120,DID_AMMO_DOMAIN,Ammunition - Domain,Munitions,fixed,8-bits,N/A,0,0,0
24130,DID_AMMO_COUNTRY,Ammunition - Country,Munitions,fixed,16-bits,N/A,0,0,0
24140,DID_AMMO_CATEGORY,Ammunition - Category,Munitions,fixed,8-bits,N/A,0,0,0
24150,DID_AMMO_SUBCATEGORY,Ammunition - Subcategory,Munitions,fixed,8-bits,N/A,0,0,0
24160,DID_AMMO_EXTRA,Ammunition - Extra,Munitions,fixed,8-bits,N/A,0,0,0
24300,DID_AMMO_DESC,Ammunition - Description,Munitions,variable,320-bits,N/A,0,0,0
25000,DID_CARGO_AGGR,Cargo (Aggregate),Cargo,unknown,unknown,unknown,0,0,0
26000,DID_VEHICLE_MASS,Vehicle Mass,Entity Status,unsigned integer,32-bits,kilograms,0,0,0
27000,DID_SUPPLY_QTY,Supply Quantity,Munitions,unknown,unknown,unknown,0,0,0
28000,DID_ARMAMENT,Armament,Munitions,boolean,unknown,unknown,0,0,0
30000,DID_STATUS_AGGR,Status (Aggregate),Entity Status,unknown,unknown,unknown,0,0,0
30010,DID_STATUS_ACTIVATE_ENTITY,Status - Activate entity,Entity Status,integer,32-bits,unknown,0,0,0
30100,DID_STATUS_SUBSCRIPTION_STATE,Status - Subscription State,SIMAN,enumeration,8-bits,unknown,0,0,0
30300,DID_STATUS_ROUND_TRIP_TIME_DELAY,Status - Round trip time delay,SIMAN,unsigned integer,32-bits,milliseconds,0,0,0
30400,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_0,Status - TADIL J message count (label 0),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30401,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_1,Status - TADIL J message count (label 1),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30402,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_2,Status - TADIL J message count (label 2),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30403,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_3,Status - TADIL J message count (label 3),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30404,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_4,Status - TADIL J message count (label 4),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30405,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_5,Status - TADIL J message count (label 5),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30406,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_6,Status - TADIL J message count (label 6),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30407,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_7,Status - TADIL J message count (label 7),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30408,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_8,Status - TADIL J message count (label 8),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30409,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_9,Status - TADIL J message count (label 9),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30410,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_10,Status - TADIL J message count (label 10),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30411,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_11,Status - TADIL J message count (label 11),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30412,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_12,Status - TADIL J message count (label 12),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30413,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_13,Status - TADIL J message count (label 13),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30414,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_14,Status - TADIL J message count (label 14),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30415,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_15,Status - TADIL J message count (label 15),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30416,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_16,Status - TADIL J message count (label 16),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30417,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_17,Status - TADIL J message count (label 17),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30418,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_18,Status - TADIL J message count (label 18),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30419,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_19,Status - TADIL J message count (label 19),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30420,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_20,Status - TADIL J message count (label 20),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30421,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_21,Status - TADIL J message count (label 21),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30422,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_22,Status - TADIL J message count (label 22),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30423,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_23,Status - TADIL J message count (label 23),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30424,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_24,Status - TADIL J message count (label 24),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30425,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_25,Status - TADIL J message count (label 25),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30426,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_26,Status - TADIL J message count (label 26),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30427,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_27,Status - TADIL J message count (label 27),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30428,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_28,Status - TADIL J message count (label 28),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30429,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_29,Status - TADIL J message count (label 29),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30430,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_30,Status - TADIL J message count (label 30),TADIL J,unsigned integer,32-bits,unknown,0,0,0
30431,DID_STATUS_TADIL_J_MSG_COUNT_LABEL_31,Status - TADIL J message count (label 31),TADIL J,unsigned integer,32-bits,unknown,0,0,0
31000,DID_STATUS_POSITION_AGGR,Status - Position (Aggregate),Position,unknown,unknown,unknown,0,0,0
31010,DID_STATUS_ROUTE_WAYPOINT_TYPE,Status - Route (Waypoint) type,Position,integer,32-bits,unknown,0,0,0
31100,DID_STATUS_MIL_GRID_10,Status - Mil Grid 10,Position,unknown,unknown,unknown,0,0,0
31200,DID_STATUS_GEOCENTRIC_COORDINATES_AGGR,Status - Geocentric Coordinates (Aggregate),Position,variable,unknown,unknown,0,0,0
31210,DID_STATUS_GEOCENTRIC_COORDINATES_X,Status - Geocentric Coordinates - X ,Position,unsigned integer,32-bits,meters,0,0,0
31220,DID_STATUS_GEOCENTRIC_COORDINATES_Y,Status - Geocentric Coordinates - Y,Position,unsigned integer,32-bits,meters,0,0,0
31230,DID_STATUS_GEOCENTRIC_COORDINATES_Z,Status - Geocentric Coordinates - Z,Position,unsigned integer,32-bits,meters,0,0,0
31300,DID_STATUS_LAT,Status - Latitude,Position,unsigned integer,32-bits,degrees,0,0,0
31400,DID_STATUS_LONG,Status - Longitude,Position,unsigned integer,32-bits,degrees,0,0,0
31500,DID_STATUS_LOS_AGGR,Status - Line of Sight (Aggregate),LOS,variable,unknown,unknown,0,0,0
31510,DID_STATUS_LOS_X,Status - Line of Sight - X,LOS,unsigned integer,32-bits,meters,0,0,0
31520,DID_STATUS_LOS_Y,Status - Line of Sight - Y,LOS,unsigned integer,32-bits,meters,0,0,0
31530,DID_STATUS_LOS_Z,Status - Line of Sight - Z,LOS,unsigned integer,32-bits,meters,0,0,0
31600,DID_STATUS_ALTITUDE,Status - Altitude,Entity Status,integer,32-bits,meters,0,0,0
31700,DID_STATUS_DESTINATION_LAT,Status - Destination Latitude,Entity Status,integer,32-bits,(10000th) degrees,0,0,0
31800,DID_STATUS_DESTINATION_LONG,Status - Destination Longitude,Entity Status,integer,32-bits,(10000th) degrees,0,0,0
31900,DID_STATUS_DESTINATION_ALTITUDE,Status - Destination Altitude,Entity Status,integer,32-bits,meters,0,0,0
32000,DID_STATUS_ORIENT,Status - Orientation,Entity Status,variable datum,96-bits,radians,0,0,0
32100,DID_STATUS_HULL_HEADING_ANGLE,Status - Hull Heading Angle,Entity Status,unsigned integer,32-bits,degrees,0,0,0
32200,DID_STATUS_HULL_PITCH_ANGLE,Status - Hull Pitch Angle,Entity Status,unsigned integer,32-bits,degrees,0,0,0
32300,DID_STATUS_ROLL_ANGLE,Status - Roll Angle,Entity Status,unsigned integer,32-bits,degrees,0,0,0
32500,DID_STATUS_ROLL_ANGLE_X,Status - Roll Angle - X,Entity Status,unsigned integer,32-bits,degrees,0,0,0
32600,DID_STATUS_ROLL_ANGLE_Y,Status - Roll Angle - Y,Entity Status,unsigned integer,32-bits,degrees,0,0,0
32700,DID_STATUS_ROLL_ANGLE_Z,Status - Roll Angle - Z,Entity Status,unsigned integer,32-bits,degrees,0,0,0
